x÷·,y÷·,z÷·
-188.078,399.272,334.222
-188.232,399.237,334.214
-188.106,399.398,334.279
-188.132,399.412,334.187
-188.227,399.415,334.384
-188.099,399.472,334.556
-188.141,399.567,334.543
-188.129,399.563,334.516
-188.104,399.424,334.463
-188.177,399.535,334.409
-187.904,399.714,334.294
-187.925,399.438,334.26
-188.011,399.423,334.294
-188.11,399.517,334.227
-188.154,399.542,334.305
-187.957,399.438,334.262
-187.948,399.462,334.322
-188.18,399.311,334.218
-188.135,399.366,334.361
-188.103,399.397,334.539
-188.174,399.251,334.33
-188.042,399.382,334.286
-187.976,399.263,334.342
-188.12,399.394,334.197
-187.997,399.408,334.181
-187.992,399.361,334.178
-188.14,399.422,334.11
-188.112,399.335,334.223
-188.037,399.287,334.417
-188.046,399.526,334.516
-187.866,399.598,334.396
-187.91,399.72,334.422
-187.904,399.714,334.294
-187.925,399.438,334.26
-188.011,399.423,334.294
-188.11,399.517,334.227
-188.154,399.542,334.305
-187.957,399.438,334.262
-187.948,399.462,334.322
-188.18,399.311,334.218
-188.135,399.366,334.361
-188.103,399.397,334.539
-188.174,399.251,334.33
-188.042,399.382,334.286
-187.976,399.263,334.342
-188.12,399.394,334.197
-187.997,399.408,334.181
-187.992,399.361,334.178
-188.14,399.422,334.11
-188.112,399.335,334.223
-188.037,399.287,334.417
-188.046,399.526,334.516
-187.866,399.598,334.396
-187.91,399.72,334.422
-188.012,399.744,334.379
-187.96,399.652,334.404
-188.071,399.623,334.453
-188.082,399.506,334.554
-188.017,399.411,334.481
-188.042,399.582,334.244
-187.901,399.566,334.424
-188.021,399.47,334.314
-187.941,399.589,334.394
-188.166,399.507,334.291
-188.04,399.627,334.273
-188.05,399.523,334.379
-188.065,399.643,334.383
-188.014,399.592,334.482
-187.905,399.596,334.538
-187.888,399.469,334.457
-187.829,399.337,334.462
-188.024,399.465,334.397
-188.096,399.605,334.422
-187.947,399.46,334.51
-187.923,399.466,334.569
-188.026,399.379,334.503
-188.171,399.562,334.401
-188.044,399.504,334.472
-187.873,399.524,334.437
-187.965,399.474,334.401
-188.164,399.462,334.445
-188.205,399.46,334.518
-187.978,399.494,334.578
-187.975,399.468,334.475
-188.024,399.447,334.407
-187.93,399.538,334.245
-187.906,399.558,334.264
-187.906,399.433,334.268
-187.862,399.531,334.271
-187.865,399.556,334.141
-187.766,399.442,334.359
-187.659,399.487,334.223
-187.872,399.484,334.207
-187.944,399.465,334.081
-187.906,399.557,334.378
-187.944,399.549,334.492
-187.896,399.543,334.437
-188.011,399.643,334.445
-188.002,399.385,334.249
-187.948,399.494,334.502
-188.074,399.598,334.333
-188.135,399.432,334.484
-188.015,399.533,334.503
-187.947,399.603,334.442
-187.941,399.335,334.464
-187.833,399.227,334.426
-188.008,399.386,334.653
-188.066,399.48,334.492
-188.114,399.312,334.474
-187.867,399.414,334.605
-188.034,399.319,334.551
-187.817,399.348,334.363
-187.871,399.222,334.339
-187.801,399.434,334.61
-187.88,399.483,334.319
-187.921,399.494,334.34
-187.821,399.481,334.527
-187.756,399.427,334.506
-187.801,399.559,334.498
-187.814,399.534,334.544
-187.962,399.411,334.442
-187.867,399.284,334.374
-187.845,399.456,334.543
-187.902,399.524,334.483
-187.967,399.576,334.322
-187.687,399.54,334.573
-187.678,399.468,334.44
-187.81,399.349,334.353
-187.671,399.494,334.422
-187.719,399.51,334.451
-187.81,399.243,334.392
-187.834,399.247,334.447
-188.114,399.312,334.474
-187.867,399.414,334.605
-188.034,399.319,334.551
-187.817,399.348,334.363
-187.871,399.222,334.339
-187.801,399.434,334.61
-187.88,399.483,334.319
-187.921,399.494,334.34
-187.821,399.481,334.527
-187.756,399.427,334.506
-187.801,399.559,334.498
-187.814,399.534,334.544
-187.962,399.411,334.442
-187.867,399.284,334.374
-187.845,399.456,334.543
-187.902,399.524,334.483
-187.967,399.576,334.322
-187.687,399.54,334.573
-187.678,399.468,334.44
-187.81,399.349,334.353
-187.671,399.494,334.422
-187.719,399.51,334.451
-187.81,399.243,334.392
-187.834,399.247,334.447
-187.919,399.302,334.571
-187.941,399.436,334.516
-187.975,399.418,334.641
-188.159,399.386,334.615
-188.029,399.423,334.484
-188.023,399.532,334.489
-187.936,399.48,334.481
-187.924,399.427,334.563
-187.936,399.637,334.54
-187.992,399.46,334.413
-187.992,399.373,334.414
-187.897,399.448,334.41
-187.988,399.361,334.272
-188.015,399.349,334.241
-187.96,399.453,334.394
-188.005,399.498,334.423
-187.957,399.507,334.46
-188.075,399.422,334.394
-187.981,399.364,334.649
-188.136,399.437,334.476
-188.14,399.465,334.34
-188.011,399.402,334.671
-188.115,399.422,334.514
-188.08,399.328,334.445
-188.038,399.363,334.649
-187.98,399.558,334.409
-187.957,399.417,334.387
-187.984,399.42,334.167
-188.058,399.215,334.29
-188.028,399.21,334.298
-188.039,399.19,334.364
-187.915,399.204,334.399
-188.098,399.479,334.414
-188.031,399.403,334.32
-187.93,399.316,334.425
-187.807,399.217,334.294
-187.846,399.329,334.407
-187.93,399.393,334.32
-187.885,399.411,334.341
-188.084,399.237,334.41
-188.045,399.128,334.236
-188.025,399.323,334.348
-188.135,399.215,334.357
-188.176,399.256,334.438
-188.093,399.277,334.295
-188.099,399.085,334.348
-187.816,399.242,334.33
-187.992,399.331,334.4
-188.041,399.291,334.236
-187.914,399.199,334.223
-187.952,399.41,334.266
-188.003,399.325,334.305
-188.04,399.328,334.238
-188.026,399.318,334.493
-188.016,399.184,334.679
-187.959,399.377,334.522
-187.9,399.388,334.465
-187.97,399.412,334.459
-187.975,399.326,334.384
-187.916,399.587,334.338
-188.01,399.653,334.457
-187.967,399.459,334.63
-187.963,399.461,334.501
-187.939,399.681,334.489
-188.096,399.32,334.361
-187.985,399.555,334.655
-187.987,399.448,332.355
-188.106,399.322,334.504
-188.075,399.161,334.583
-187.969,399.523,334.626
-188.093,399.428,334.549
-188.077,399.526,334.377
-188.101,399.417,334.39
-188.091,399.405,334.399
-188.17,399.568,334.303
-188.031,399.424,334.177
-187.963,399.461,334.501
-187.939,399.681,334.489
-188.096,399.32,334.361
-187.985,399.555,334.655
-187.987,399.448,332.355
-188.106,399.322,334.504
-188.075,399.161,334.583
-187.969,399.523,334.626
-188.093,399.428,334.549
-188.077,399.526,334.377
-188.101,399.417,334.39
-188.091,399.405,334.399
-188.17,399.568,334.303
-188.031,399.424,334.177
-187.879,399.357,334.071
-187.842,399.378,333.625
-187.976,399.446,331.634
-187.975,399.538,331.889
-187.885,399.533,331.811
-188.029,399.447,331.787
-187.974,399.287,331.771
-187.838,399.405,331.776
-187.805,399.366,331.77
-187.742,399.457,331.847
-188.033,399.361,331.904
-188.071,399.477,331.644
-188.091,399.475,331.675
-188.142,399.476,331.797
-187.949,399.383,331.675
-187.894,399.282,331.727
-187.831,399.18,331.678
-188.028,399.428,331.888
-187.999,399.27,331.807
-188.089,399.251,331.721
-187.994,399.366,331.892
-188.092,399.33,331.729
-187.896,399.191,331.917
-188.046,399.253,331.738
-187.977,399.31,331.714
-188.142,399.265,331.722
-188.204,399.282,331.941
-188.061,399.298,331.78
-188.06,399.277,331.739
-188.005,399.316,331.706
-188.151,399.231,331.743
-187.984,399.222,331.72
-188.058,399.157,331.713
-187.814,399.128,331.738
-187.86,399.239,331.778
-187.796,399.373,331.723
-187.894,399.468,331.817
-187.944,399.464,331.626
-187.775,399.549,331.756
-187.774,399.489,331.734
